relation_id,cert_id,major_id,is_active
cmj_00054,cert_1273,major_qnet_4289,True
cmj_00055,cert_1272,major_qnet_4289,True
cmj_00056,cert_1195,major_qnet_4289,True
cmj_00057,cert_0729,major_qnet_4289,True
cmj_00058,cert_0733,major_qnet_5373,True
cmj_00059,cert_0715,major_qnet_4289,True
cmj_00060,cert_0715,major_qnet_5373,True
cmj_00061,cert_0716,major_qnet_4289,True
cmj_00062,cert_0716,major_qnet_5373,True
cmj_00063,cert_0717,major_qnet_4289,True
cmj_00064,cert_0717,major_qnet_5373,True
cmj_00065,cert_1033,major_qnet_5373,True
cmj_00066,cert_1034,major_qnet_5373,True
cmj_00067,cert_1003,major_qnet_5373,True
cmj_00068,cert_1014,major_qnet_5373,True
cmj_00069,cert_1132,major_qnet_5373,True
cmj_00070,cert_1139,major_qnet_5373,True
cmj_00071,cert_1020,major_qnet_5373,True
cmj_00072,cert_1273,major_qnet_5373,True
cmj_00073,cert_1272,major_qnet_5373,True
cmj_00074,cert_0957,major_qnet_6002,True
cmj_00075,cert_0958,major_qnet_6002,True
cmj_00076,cert_0959,major_qnet_6002,True
cmj_00077,cert_0696,major_qnet_6002,True
cmj_00078,cert_0696,major_qnet_2221,True
cmj_00079,cert_0696,major_qnet_6003,True
cmj_00080,cert_0911,major_qnet_6002,True
cmj_00081,cert_0911,major_qnet_6003,True
cmj_00082,cert_0697,major_qnet_6002,True
cmj_00083,cert_0697,major_qnet_2221,True
cmj_00084,cert_0697,major_qnet_6003,True
cmj_00085,cert_0912,major_qnet_6002,True
cmj_00086,cert_0912,major_qnet_6003,True
cmj_00087,cert_0957,major_qnet_2221,True
cmj_00088,cert_0957,major_qnet_6003,True
cmj_00089,cert_1189,major_qnet_6002,True
cmj_00090,cert_1189,major_qnet_2221,True
cmj_00091,cert_1189,major_qnet_6003,True
cmj_00092,cert_1191,major_qnet_6002,True
cmj_00093,cert_1191,major_qnet_2221,True
cmj_00094,cert_1191,major_qnet_6003,True
cmj_00095,cert_1198,major_qnet_6002,True
cmj_00096,cert_1198,major_qnet_2221,True
cmj_00097,cert_1198,major_qnet_6003,True
cmj_00098,cert_1192,major_qnet_6002,True
cmj_00099,cert_1192,major_qnet_2221,True
cmj_00100,cert_1192,major_qnet_6003,True
cmj_00101,cert_0958,major_qnet_2221,True
cmj_00102,cert_0958,major_qnet_6003,True
cmj_00103,cert_0959,major_qnet_2221,True
cmj_00104,cert_0959,major_qnet_6003,True
cmj_00105,cert_0043,major_qnet_4862,False
cmj_00106,cert_0043,major_qnet_5630,False
cmj_00107,cert_0043,major_qnet_6003,False
cmj_00108,cert_0117,major_qnet_4862,True
cmj_00109,cert_0117,major_qnet_5630,True
cmj_00110,cert_0117,major_qnet_6003,True
cmj_00111,cert_0135,major_qnet_4862,False
cmj_00112,cert_0135,major_qnet_5630,False
cmj_00113,cert_0135,major_qnet_6003,False
cmj_00114,cert_0256,major_qnet_4862,True
cmj_00115,cert_0256,major_qnet_5630,True
cmj_00116,cert_0256,major_qnet_6003,True
cmj_00117,cert_0906,major_qnet_4862,True
cmj_00118,cert_0906,major_qnet_5630,True
cmj_00119,cert_0906,major_qnet_6003,True
cmj_00120,cert_0547,major_qnet_4862,False
cmj_00121,cert_0547,major_qnet_5630,False
cmj_00122,cert_0547,major_qnet_6003,False
cmj_00123,cert_0479,major_qnet_4862,True
cmj_00124,cert_0479,major_qnet_5630,True
cmj_00125,cert_0479,major_qnet_6003,True
cmj_00126,cert_0704,major_qnet_4862,True
cmj_00127,cert_0704,major_qnet_5630,True
cmj_00128,cert_0704,major_qnet_6003,True
cmj_00129,cert_0705,major_qnet_4862,True
cmj_00130,cert_0705,major_qnet_5630,True
cmj_00131,cert_0705,major_qnet_6003,True
cmj_00132,cert_0748,major_qnet_4862,True
cmj_00133,cert_0748,major_qnet_5630,True
cmj_00134,cert_0748,major_qnet_6003,True
cmj_00135,cert_0777,major_qnet_4862,True
cmj_00136,cert_0777,major_qnet_5630,True
cmj_00137,cert_0777,major_qnet_6003,True
cmj_00138,cert_0731,major_qnet_4862,True
cmj_00139,cert_0731,major_qnet_5630,True
cmj_00140,cert_0731,major_qnet_6003,True
cmj_00141,cert_1017,major_qnet_4862,True
cmj_00142,cert_1017,major_qnet_5630,True
cmj_00143,cert_1017,major_qnet_6003,True
cmj_00144,cert_1054,major_qnet_4862,True
cmj_00145,cert_1054,major_qnet_5630,True
