udeptcd,udeptnm,udeptmdobligcd,udeptmdoblignm,udeptobligcd,udeptoblignm
1225,공업화학·화학공학·섬유패션학과군,191,섬유,19,섬유.의복
1226,공업화학교육과,181,화공,18,화학
1227,공업화학섬유고분자화학공학과군,181,화공,18,화학
1227,공업화학섬유고분자화학공학과군,191,섬유,19,섬유.의복
1228,공연미디어학부,083,방송,8,문화.예술.디자인.방송
1229,공연영상예술학부,083,방송,8,문화.예술.디자인.방송
1230,공연영상제작학부,083,방송,8,문화.예술.디자인.방송
1231,공연영상학(과ㆍ부ㆍ전공),083,방송,8,문화.예술.디자인.방송
1233,공연예술학부,083,방송,8,문화.예술.디자인.방송
1234,공연의상학과,082,디자인,8,문화.예술.디자인.방송
1234,공연의상학과,192,의복,19,섬유.의복
1235,공연학부,083,방송,8,문화.예술.디자인.방송
1236,"공예(과,전공,학과,학부)",082,디자인,8,문화.예술.디자인.방송
1236,"공예(과,전공,학과,학부)",191,섬유,19,섬유.의복
1236,"공예(과,전공,학과,학부)",232,목재.가구.공예,23,인쇄.목재.가구.공예
1237,"공예디자인(계열,과,학과,학부,전공,학전공)",082,디자인,8,문화.예술.디자인.방송
1237,"공예디자인(계열,과,학과,학부,전공,학전공)",232,목재.가구.공예,23,인쇄.목재.가구.공예
1238,공예미술학과,082,디자인,8,문화.예술.디자인.방송
1238,공예미술학과,232,목재.가구.공예,23,인쇄.목재.가구.공예
1239,공예상품디자인전공,082,디자인,8,문화.예술.디자인.방송
1239,공예상품디자인전공,232,목재.가구.공예,23,인쇄.목재.가구.공예
1240,공장자동화과,024,생산관리,2,경영.회계.사무
1240,공장자동화과,162,기계장비설비.설치,16,기계
1241,"공조냉동(과,학과)",162,기계장비설비.설치,16,기계
1242,공조냉동에너지시스템전공,162,기계장비설비.설치,16,기계
1243,"공중보건학(과,전공)",061,보건.의료,6,보건.의료
1243,"공중보건학(과,전공)",061-2,보건.의료(국제의료관광코디네이터),6,보건.의료
1243,"공중보건학(과,전공)",221,식품,22,식품.가공
1243,"공중보건학(과,전공)",251,안전관리,25,안전관리
1245,과수학과,241,농업,24,농림어업
1246,"관광(호텔,외식)경영학부",024,생산관리,2,경영.회계.사무
1246,"관광(호텔,외식)경영학부",221,식품,22,식품.가공
1247,"관광개발(전공,학과)",122,숙박.여행.오락.스포츠,12,이용.숙박.여행.오락.스포츠
1247,"관광개발(전공,학과)",144,도시.교통,14,건설
1248,"관광경영(학,학과,전공)",024,생산관리,2,경영.회계.사무
1248,"관광경영(학,학과,전공)",122,숙박.여행.오락.스포츠,12,이용.숙박.여행.오락.스포츠
1248,"관광경영(학,학과,전공)",221,식품,22,식품.가공
1249,관광귀금속공예과,082,디자인,8,문화.예술.디자인.방송
1249,관광귀금속공예과,232,목재.가구.공예,23,인쇄.목재.가구.공예
1250,관광농업과,241,농업,24,농림어업
1251,관광농업낙농과,241,농업,24,농림어업
1252,"관광디자인(계열,학과)",082,디자인,8,문화.예술.디자인.방송
1253,관광사진영상(과ㆍ전공),083,방송,8,문화.예술.디자인.방송
1254,관광사진예술과,083,방송,8,문화.예술.디자인.방송
1255,관광산업디자인과,082,디자인,8,문화.예술.디자인.방송
1256,관광생명자원과,181,화공,18,화학
1256,관광생명자원과,221,식품,22,식품.가공
1257,관광식품산업계열,181,화공,18,화학
1257,관광식품산업계열,221,식품,22,식품.가공
1258,관광식품조리계열,131,조리,13,음식서비스
1258,관광식품조리계열,181,화공,18,화학
1258,관광식품조리계열,221,식품,22,식품.가공
1259,관광외식경영(과ㆍ전공),024,생산관리,2,경영.회계.사무
1259,관광외식경영(과ㆍ전공),131,조리,13,음식서비스
1259,관광외식경영(과ㆍ전공),221,식품,22,식품.가공
1261,관광외식사업과,131,조리,13,음식서비스
1261,관광외식사업과,221,식품,22,식품.가공
1262,"관광외식산업(과,학과)",131,조리,13,음식서비스
1262,"관광외식산업(과,학과)",221,식품,22,식품.가공
1263,"관광외식조리(계열,과,전공)",131,조리,13,음식서비스
1263,"관광외식조리(계열,과,전공)",221,식품,22,식품.가공
1264,관광외식컨설팅과,131,조리,13,음식서비스
1264,관광외식컨설팅과,221,식품,22,식품.가공
1265,관광외식학부,131,조리,13,음식서비스
1265,관광외식학부,221,식품,22,식품.가공
1266,"관광조경(과,학과)",143,조경,14,건설
1267,관광조리과,131,조리,13,음식서비스
1267,관광조리과,221,식품,22,식품.가공
1268,관광조리음료과,131,조리,13,음식서비스
1268,관광조리음료과,221,식품,22,식품.가공
1269,관광컴퓨터정보계열,202,전자,20,전기.전자
1269,관광컴퓨터정보계열,211,정보기술,21,정보통신
1270,"관광호텔외식경영(학부,전공)",024,생산관리,2,경영.회계.사무
1270,"관광호텔외식경영(학부,전공)",131,조리,13,음식서비스
1271,관광호텔외식전공,131,조리,13,음식서비스
