cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr
67,식품기술사,식품기술사,식품기술사,,Q-Net,True,국가기술자격,기술사,30,교육/생활서비스,식품,qnet_major_list_2025,38.75,37.75,26.38
68,산림기술사,산림기술사,산림기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,임업,qnet_major_list_2025,6.4,33.55,22.43
69,비파괴검사기술사,비파괴검사기술사,비파괴검사기술사,,Q-Net,True,국가기술자격,기술사,15,엔지니어링/산업기술,비파괴검사,qnet_major_list_2025,35.0,37.5,32.22
70,수산제조기술사,수산제조기술사,수산제조기술사,,Q-Net,True,국가기술자격,기술사,30,교육/생활서비스,식품,qnet_major_list_2025,56.3,27.3,56.0
71,지질및지반기술사,지질및지반기술사,지질및지반기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,22.15,66.45,33.13
72,종자기술사,종자기술사,종자기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,농업,qnet_major_list_2025,20.0,25.0,41.23
73,시설원예기술사,시설원예기술사,시설원예기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,농업,qnet_major_list_2025,4.7,40.0,28.42
74,축산기술사,축산기술사,축산기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,축산,qnet_major_list_2025,35.0,50.0,35.27
75,기계기술사(정밀측정),기계기술사(정밀측정),기계기술사(정밀측정),,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계제작,qnet_major_list_2025,,,
76,기계기술사,기계기술사,기계기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계제작,qnet_major_list_2025,12.3,38.5,28.08
77,인간공학기술사,인간공학기술사,인간공학기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,29.5,34.4,39.45
78,원자력발전기술사,원자력발전기술사,원자력발전기술사,,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,29.17,66.67,47.92
79,기상예보기술사,기상예보기술사,기상예보기술사,,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,38.1,53.3,39.13
80,방사선관리기술사,방사선관리기술사,방사선관리기술사,,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,12.87,38.87,25.87
81,대기관리기술사,대기관리기술사,대기관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,9.9,45.5,27.15
82,수질관리기술사,수질관리기술사,수질관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,11.75,42.0,32.48
83,자연환경관리기술사,자연환경관리기술사,자연환경관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,3.85,50.0,29.55
84,소음진동기술사,소음진동기술사,소음진동기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,5.5,20.0,30.95
85,토양환경기술사,토양환경기술사,토양환경기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,30.4,88.9,43.72
86,농화학기술사,농화학기술사,농화학기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,농업,qnet_major_list_2025,15.8,100.0,44.9
87,교통기술사,교통기술사,교통기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,도시.교통,qnet_major_list_2025,11.25,73.30000000000001,47.47
88,제품디자인기술사,제품디자인기술사,제품디자인기술사,,Q-Net,True,국가기술자격,기술사,33,크리에이티브/미디어,디자인,qnet_major_list_2025,31.0,27.8,55.4
89,폐기물처리기술사,폐기물처리기술사,폐기물처리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,25.8,31.6,30.03
90,일반기계기사,일반기계기사,일반기계기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계제작,qnet_major_list_2025,33.37,44.9,39.13
91,용접기사,용접기사,용접기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,용접,qnet_major_list_2025,21.73,27.93,24.83
92,농업기계기사,농업기계기사,농업기계기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,6.67,50.0,28.33
93,사출금형기사,사출금형기사,사출금형기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,금형.공작기계,qnet_major_list_2025,30.27,54.63,42.45
94,프레스금형기사,프레스금형기사,프레스금형기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,금형.공작기계,qnet_major_list_2025,36.7,43.97,40.33
95,윤활관리기사,윤활관리기사,윤활관리기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,,,
96,그린전동자동차기사,그린전동자동차기사,그린전동자동차기사,,Q-Net,True,국가기술자격,기사,13,엔지니어링/산업기술,자동차,qnet_major_list_2025,10.13,13.9,12.02
97,온실가스관리기사,온실가스관리기사,온실가스관리기사,,Q-Net,True,국가기술자격,기사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,61.03,50.77,55.9
98,환경위해관리기사,환경위해관리기사,환경위해관리기사,,Q-Net,True,국가기술자격,기사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,62.87,26.83,44.85
99,철도차량기사,철도차량기사,철도차량기사,,Q-Net,True,국가기술자격,기사,40,모빌리티/운송,철도,qnet_major_list_2025,16.67,4.77,10.72
