statisYy,jmCd,jmNm,grdCd,grdNm,mdobligFldCd,mdobligFldNm,mjrYnCcd,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,1320,정보처리기사,30,기사,211,정보기술,N,707796,631920,16329,11119,12211,19886,16331
2025,1321,전자계산기기사,30,기사,202,전자,N,3467,3298,68,69,10,13,9
2025,1322,전자계산기조직응용기사,30,기사,211,정보기술,N,7415,6656,383,206,29,8,133
2025,1330,원자력기사,30,기사,262,에너지.기상,N,650,650,0,0,0,0,0
2025,1340,에너지관리기사,30,기사,262,에너지.기상,N,24716,17672,623,1126,2052,1486,1757
2025,1350,도시계획기사,30,기사,144,도시.교통,N,17248,13065,787,588,873,843,1092
2025,1351,항로표지기사,30,기사,142,토목,N,495,415,0,8,0,34,38
2025,1370,조경기사,30,기사,143,조경,N,22895,18863,730,865,652,1123,662
2025,1380,측량및지형공간정보기사,30,기사,142,토목,N,21667,18588,539,645,657,731,507
2025,1390,지적기사,30,기사,142,토목,N,16729,14341,525,608,487,404,364
2025,1391,인쇄설계기사,30,기사,231,인쇄.사진,N,966,883,16,15,20,30,2
2025,1400,해양기사1급,30,기사,142,토목,N,27,27,0,0,0,0,0
2025,1401,해양환경기사,30,기사,142,토목,N,2054,1165,145,121,193,211,219
2025,1402,해양자원개발기사,30,기사,142,토목,N,89,77,1,4,6,0,1
2025,1403,해양공학기사,30,기사,142,토목,N,139,134,4,0,1,0,0
2025,1431,산업안전기사,30,기사,251,안전관리,N,213309,96170,14889,15228,27478,29811,29733
2025,1431,산업안전기사,30,기사,251,안전관리,Y,6833,1876,428,459,1165,1386,1519
2025,1440,건설안전기사,30,기사,251,안전관리,N,111918,62504,5495,10220,12407,12174,9118
2025,1440,건설안전기사,30,기사,251,안전관리,Y,791,210,44,101,158,167,111
2025,1441,화재감식평가기사,30,기사,251,안전관리,N,12955,3785,1792,1988,2145,1801,1444
2025,1441,화재감식평가기사,30,기사,251,안전관리,Y,756,67,87,126,164,157,155
2025,1442,농작업안전보건기사,30,기사,251,안전관리,N,1224,423,109,29,315,76,272
2025,1442,농작업안전보건기사,30,기사,251,안전관리,Y,111,43,9,4,32,7,16
2025,1443,방재기사,30,기사,251,안전관리,N,1544,32,381,291,316,157,367
2025,1443,방재기사,30,기사,251,안전관리,Y,6,0,1,1,1,1,2
2025,1450,광산보안기사,30,기사,151,채광,N,2379,2379,0,0,0,0,0
2025,1460,지하수기사,30,기사,151,채광,N,67,67,0,0,0,0,0
2025,1471,가스기사,30,기사,251,안전관리,N,13598,11057,736,521,516,457,311
2025,1471,가스기사,30,기사,251,안전관리,Y,69,44,9,6,4,2,4
2025,1472,산업위생관리기사,30,기사,251,안전관리,N,19370,10834,1329,1600,1752,1890,1965
2025,1472,산업위생관리기사,30,기사,251,안전관리,Y,10787,3607,638,1030,1522,2037,1953
2025,1500,품질경영기사,30,기사,24,생산관리,N,38609,33818,1157,743,1020,953,918
2025,1511,포장기사,30,기사,24,생산관리,N,198,113,3,5,40,13,24
2025,1512,제품디자인기사,30,기사,82,디자인,N,247,220,12,3,7,1,4
2025,1513,광학기사,30,기사,202,전자,N,581,493,51,16,5,10,6
2025,1520,세라믹기사,30,기사,171,금속.재료,N,616,616,0,0,0,0,0
2025,1530,식품안전기사,30,기사,221,식품,N,30000,22488,1264,1920,1469,1255,1604
2025,1540,수산제조기사,30,기사,221,식품,N,1438,1406,12,2,12,1,5
2025,1541,식육가공기사,30,기사,221,식품,N,211,88,37,22,24,26,14
2025,1550,응용지질기사,30,기사,142,토목,N,4771,4146,111,69,132,144,169
2025,1555,승강기기사,30,기사,162,기계장비설비.설치,N,4810,3505,339,314,259,172,221
2025,1560,종자기사,30,기사,241,농업,N,11812,7461,642,967,987,927,828
2025,1562,식물보호기사,30,기사,243,임업,N,22525,13795,2027,1691,1210,1913,1889
2025,1563,화학분석기사,30,기사,181,화공,N,11549,8380,781,716,456,677,539
2025,1564,산림기사,30,기사,243,임업,N,25888,16185,1626,1453,2525,2462,1637
2025,1570,임업종묘기사,30,기사,243,임업,N,579,400,39,28,57,26,29
2025,1575,광해방지기사,30,기사,152,광해방지,N,125,125,0,0,0,0,0
2025,1576,화훼장식기사,30,기사,241,농업,N,2695,1938,107,166,150,174,160
2025,1581,축산기사,30,기사,242,축산,N,10174,6908,658,682,703,601,622
2025,1590,임산가공기사,30,기사,243,임업,N,962,774,53,49,59,15,12
2025,1592,유기농업기사,30,기사,241,농업,N,5991,3791,447,350,374,444,585
2025,1600,기상기사,30,기사,262,에너지.기상,N,4694,3915,198,79,174,137,191
2025,1601,기상감정기사,30,기사,262,에너지.기상,N,159,89,20,16,8,11,15
2025,1611,방사선비파괴검사기사,30,기사,252,비파괴검사,N,3595,3200,83,93,65,78,76
2025,1612,초음파비파괴검사기사,30,기사,252,비파괴검사,N,2357,2123,51,33,44,37,69
2025,1613,자기비파괴검사기사,30,기사,252,비파괴검사,N,4589,3870,120,131,160,178,130
2025,1614,침투비파괴검사기사,30,기사,252,비파괴검사,N,7887,6236,307,351,398,322,273
2025,1615,와전류비파괴검사기사,30,기사,252,비파괴검사,N,1194,916,62,38,52,55,71
2025,1616,비파괴검사기사1급(전자기침투),30,기사,252,비파괴검사,N,4,4,0,0,0,0,0
2025,1617,누설비파괴검사기사,30,기사,252,비파괴검사,N,1323,1081,60,51,42,48,41
2025,1621,수산양식기사,30,기사,244,어업,N,243,243,0,0,0,0,0
2025,1622,수산양식기사,30,기사,244,어업,N,93,93,0,0,0,0,0
2025,1623,수산양식기사,30,기사,244,어업,N,20,20,0,0,0,0,0
2025,1624,수산양식기사,30,기사,244,어업,N,62,62,0,0,0,0,0
2025,1625,수산양식기사,30,기사,244,어업,N,3131,2379,160,133,113,229,117
2025,1630,건축기사,30,기사,141,건축,N,171206,146866,5447,4099,4556,5280,4958
2025,1632,건축설비기사,30,기사,141,건축,N,21201,9851,1158,1368,3116,2406,3302
2025,1633,어업생산관리기사,30,기사,244,어업,N,416,388,1,9,2,4,12
2025,1640,공업계측제어기사,30,기사,202,전자,N,145,145,0,0,0,0,0
2025,1650,농화학기사,30,기사,241,농업,N,68,68,0,0,0,0,0
2025,1661,대기환경기사,30,기사,261,환경,N,47511,35330,2953,2217,1668,3247,2096
2025,1662,수질환경기사,30,기사,261,환경,N,61097,50654,2981,2249,1224,2073,1916
2025,1663,소음진동기사,30,기사,261,환경,N,4678,4139,118,113,118,76,114
2025,1670,"대기환경,수질환경,소음진동기사",30,기사,261,환경,N,853,853,0,0,0,0,0
2025,1703,계량기사,30,기사,161,기계제작,N,128,128,0,0,0,0,0
2025,1713,계량기사,30,기사,161,기계제작,N,146,146,0,0,0,0,0
