jobdicSeq,직업명,학과명,자격증명,자격증ID,jobID
937,시각디자이너,"공업디자인과, 공업디자인학과, 공예과, 공예학과, 광고디자인과, 디지털디자인과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과, 조형디자인학과, 컴퓨터디자인학과, 패션디자인과",컴퓨터그래픽기능사,T082,813
938,시스템운영관리자,"시스템경영공학과, 시스템공학과",정보처리기능사,T650,814
938,시스템운영관리자,"시스템경영공학과, 시스템공학과",정보처리산업기사,T652,815
938,시스템운영관리자,"시스템경영공학과, 시스템공학과",정보처리기사,T651,816
938,시스템운영관리자,"시스템경영공학과, 시스템공학과",정보관리기술사,T647,817
938,시스템운영관리자,"시스템경영공학과, 시스템공학과",전자계산기조직응용기사,T628,818
938,시스템운영관리자,"시스템경영공학과, 시스템공학과",컴퓨터운용사,,819
941,임상병리사,"임상병리과, 임상병리학과",임상병리사,T575,820
946,카지노딜러,"관광경영과, 관광경영학과, 문화관광과, 컨벤션산업과, 호텔경영과",,,821
948,컴퓨터하드웨어 기술자 및 연구원,"전기자동화과, 컴퓨터공학과, 컴퓨터과학과, 컴퓨터소프트웨어과, 컴퓨터응용기계과",정보통신산업기사,T656,822
948,컴퓨터하드웨어 기술자 및 연구원,"전기자동화과, 컴퓨터공학과, 컴퓨터과학과, 컴퓨터소프트웨어과, 컴퓨터응용기계과",정보통신기사,T654,823
948,컴퓨터하드웨어 기술자 및 연구원,"전기자동화과, 컴퓨터공학과, 컴퓨터과학과, 컴퓨터소프트웨어과, 컴퓨터응용기계과",정보통신기술사,T655,824
948,컴퓨터하드웨어 기술자 및 연구원,"전기자동화과, 컴퓨터공학과, 컴퓨터과학과, 컴퓨터소프트웨어과, 컴퓨터응용기계과",컴퓨터 활용능력 3급,,825
948,컴퓨터하드웨어 기술자 및 연구원,"전기자동화과, 컴퓨터공학과, 컴퓨터과학과, 컴퓨터소프트웨어과, 컴퓨터응용기계과",컴퓨터 활용능력 2급,,826
948,컴퓨터하드웨어 기술자 및 연구원,"전기자동화과, 컴퓨터공학과, 컴퓨터과학과, 컴퓨터소프트웨어과, 컴퓨터응용기계과",컴퓨터그래픽기능사,T082,827
950,투자분석가(애널리스트),"경영학과, 경제학과, 국제통상학과, 금융경영과, 금융보험학과, 세무학과, 통계학과, 회계학과",,,828
951,행사기획자,"경영학과, 광고기획과, 문예창작과, 문예창작학과, 산업디자인과, 산업디자인학과, 신문방송학과, 연극영화과, 연극영화학과, 이벤트연출과, 컨벤션산업과",컨벤션기획사2급,T076,829
951,행사기획자,"경영학과, 광고기획과, 문예창작과, 문예창작학과, 산업�����자인과, 산업디자인학과, 신문방송학과, 연극영화과, 연극영화학과, 이벤트연출과, 컨벤션산업과",컨벤션기획사,,830
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화약류제조산업기사,T176,831
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화약류제조기사,T175,832
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화학분석기능사,T180,833
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화공기사,T168,834
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화약류관리산업기사,T174,835
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화약류관리기사,T172,836
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화약류관리기술사,T173,837
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화공안전기술사,T170,838
952,화학공학기술자,"고분자공학과, 공업화학과, 정밀화학과, 화학공업과, 화학공학과, 화학과",화공기술사,T169,839
954,화훼재배기술자,"원예과, 원예학과",시설원예기사,T471,840
954,화훼재배기술자,"원예과, 원예학과",시설원예기술사,T473,841
954,화훼재배기술자,"원예과, 원예학과",화훼장식기능사,T183,842
954,화훼재배기술자,"원예과, 원예학과",화훼장식기사,T184,843
957,평론가,"국어국문학과, 문예창작학과, 미디어영상학과, 미술학과, 실용음악과, 연극영화과, 연극영화학과, 음악학과",,,844
963,원예기술자,"식물자원학과, 원예과, 원예학과",시설원예기사,T471,845
963,원예기술자,"식물자원학과, 원예과, 원예학과",시설원예기술사,T473,846
966,안무가,"무용과, 무용학과",,,847
968,시인,"국어국문학과, 문예창작과, 문예창작학과",,,848
973,소설가,"국어국문학과, 문예창작과, 문예창작학과",,,849
975,사진사,"사진과, 사진영상학과",사진기능사,T395,850
976,사진기자,사진영상학과,사진기능사,T395,851
978,보일러공,,에너지관리기능사,T512,852
978,보일러공,,에너지관리기능장,T513,853
978,보일러공,,에너지관리기사,T515,854
978,보일러공,,에너지관리산업기사,T516,855
985,공업기계설치 및 정비원,,설비보전기능사,T427,856
985,공업기계설치 및 정비원,,기계가공조립기능사,T286,857
985,공업기계설치 및 정비원,,기계조립산업기사,T293,858
988,인문사회계열교수,"경제학과, 국어국문학과, 사학과, 사회학과, 심리학과, 영어영문학과, 철학과",,,859
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",대기환경기사,T316,860
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",수질환경기사,T460,861
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",산업위생관리기사,T413,862
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",소음진동기사,T446,863
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",폐기물처리산업기사,T119,864
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",폐기물처리기사,T117,865
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",폐기물처리기술사,T118,866
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",환경기능사,T186,867
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",토양환경기술사,T105,868
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",자연환경관리기술사,T596,869
994,환경컨설턴트,"화학공학과, 화학과, 환경공학과, 환경과학과",자연생태복원산업기사,T595,870
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",에너지관리기사,T515,871
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",원자력발전기술사,T538,872
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",방사선관리기술사,T356,873
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",원자력기사,T537,874
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",핵연료물질취급자면허,S253,875
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",에너지관리산업기사,T516,876
