statisYy,sido,genderNm,grdCd,grdNm,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,행정구역미상,여자,39,단일등급,12552,6411,1473,992,1178,1168,1330
2025,강원,남자,40,기능사,231775,227126,1199,1190,908,718,634
2025,강원,여자,40,기능사,96971,95781,311,323,255,172,129
2025,경기,남자,40,기능사,1386643,1366977,4881,4917,4358,3000,2510
2025,경기,여자,40,기능사,744241,735853,2320,2073,1933,1193,869
2025,경남,남자,40,기능사,505576,496488,2312,2183,1945,1465,1183
2025,경남,여자,40,기능사,210245,207443,782,737,580,404,299
2025,경북,남자,40,기능사,445548,437343,2119,1978,1740,1267,1101
2025,경북,여자,40,기능사,163404,161441,564,484,423,290,202
2025,광주,남자,40,기능사,209504,205365,1062,997,902,663,515
2025,광주,여자,40,기능사,106263,104535,491,432,393,226,186
2025,대구,남자,40,기능사,329031,323688,1434,1286,1153,815,655
2025,대구,여자,40,기능사,156849,154796,550,528,419,309,247
2025,대전,남자,40,기능사,197901,194716,803,780,724,489,389
2025,대전,여자,40,기능사,110182,109031,269,301,263,164,154
2025,부산,남자,40,기능사,467410,460317,1824,1720,1548,1070,931
2025,부산,여자,40,기능사,227232,224804,640,608,518,378,284
2025,서울,남자,40,기능사,944254,931809,3215,3119,2622,1903,1586
2025,서울,여자,40,기능사,580471,573520,1991,1760,1450,976,774
2025,울산,남자,40,기능사,183493,179411,1089,981,823,639,550
2025,울산,여자,40,기능사,82010,81062,256,239,216,122,115
2025,인천,남자,40,기능사,391354,385799,1434,1381,1207,841,692
2025,인천,여자,40,기능사,184359,182241,600,524,432,308,254
2025,전남,남자,40,기능사,297164,290070,1910,1708,1518,1081,877
2025,전남,여자,40,기능사,110935,109203,475,438,380,259,180
2025,전북,남자,40,기능사,259281,253022,1655,1606,1331,976,691
2025,전북,여자,40,기능사,118409,116585,498,449,453,247,177
2025,제주,남자,40,기능사,67416,66141,372,289,284,204,126
2025,제주,여자,40,기능사,40084,39457,163,180,128,94,62
2025,제주특별자치도,남자,40,기능사,39,38,0,1,0,0,0
2025,제주특별자치도,여자,40,기능사,15,15,0,0,0,0,0
2025,충남,남자,40,기능사,302254,296760,1404,1402,1147,900,641
2025,충남,여자,40,기능사,136823,135369,354,371,337,230,162
2025,충북,남자,40,기능사,233226,229379,970,958,827,618,474
2025,충북,여자,40,기능사,100738,99670,261,272,249,167,119
