major_code,major_name,domain_sub_code_raw,domain_sub_name_raw,domain_main_code_raw,domain_main_name_raw,major_id,domain_label_candidate,source
1246,관광(호텔·외식)경영학부,024,생산관리,2,경영·회계·사무,major_qnet_1246,생산관리,qnet_udept_oblig_list
1247,관광개발(전공·학과),122,숙박·여행·오락·스포츠,12,이용·숙박·여행·오락·스포츠,major_qnet_1247,서비스,qnet_udept_oblig_list
1248,관광경영(학·학과·전공),024,생산관리,2,경영·회계·사무,major_qnet_1248,생산관리,qnet_udept_oblig_list
1249,관광귀금속공예과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1249,디자인,qnet_udept_oblig_list
1250,관광농업과,241,농업,24,농림어업,major_qnet_1250,농업,qnet_udept_oblig_list
1251,관광농업낙농과,241,농업,24,농림어업,major_qnet_1251,농업,qnet_udept_oblig_list
1252,관광디자인(계열·학과),082,디자인,8,문화·예술·디자인·방송,major_qnet_1252,디자인,qnet_udept_oblig_list
1253,관광사진영상,083,방송,8,문화·예술·디자인·방송,major_qnet_1253,방송,qnet_udept_oblig_list
1254,관광사진예술과,083,방송,8,문화·예술·디자인·방송,major_qnet_1254,방송,qnet_udept_oblig_list
1255,관광산업디자인과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1255,디자인,qnet_udept_oblig_list
1256,관광생명자원과,181,화공,18,화학,major_qnet_1256,화공,qnet_udept_oblig_list
1257,관광식품산업계열,181,화공,18,화학,major_qnet_1257,화공,qnet_udept_oblig_list
1258,관광식품조리계열,131,조리,13,음식서비스,major_qnet_1258,조리,qnet_udept_oblig_list
1259,관광외식경영,024,생산관리,2,경영·회계·사무,major_qnet_1259,생산관리,qnet_udept_oblig_list
1261,관광외식사업과,131,조리,13,음식서비스,major_qnet_1261,조리,qnet_udept_oblig_list
1262,관광외식산업(과·학과),131,조리,13,음식서비스,major_qnet_1262,조리,qnet_udept_oblig_list
1263,관광외식조리(계열·과·전공),131,조리,13,음식서비스,major_qnet_1263,조리,qnet_udept_oblig_list
1264,관광외식컨설팅과,131,조리,13,음식서비스,major_qnet_1264,조리,qnet_udept_oblig_list
