자격증명,자격증ID,자격증_분류,자격증_등급_코드,등급_분류,2022년 1차 응시자 수,2022년 1차 합격률,2022년 2차 응시자수,2022년 2차 합격률,2022년 3차 응시자수,2022년 3차 합격률,2023년 1차 응시자 수,2023년 1차 합격률,2023년 2차 응시자 수,2023년 2차 합격률,2023년 3차 응시자 수,2023년 3차 합격률,2024년 1차 응시자 수,2024년 1차 합격률,2024년 2차 응시자 수,2024년 2차 합격률,2024년 3차 응시자 수,2024년 3차 합격률,검정 횟수,시험종류,필기,실기,면접,총합,난이도,비고,비고2
분재관리사 1급,M072,국가민간자격,1,"공인 전문관리사, 1급, 2급",101,87.13,,,,,142,73.94,,,,,214,73.83,,,,,2,필기+실기,1,1,,2,1,총 합격률,
분재관리사 2급,M073,국가민간자격,1,"공인 전문관리사, 1급, 2급",24,91.67,,,,,19,78.95,,,,,24,83.33,,,,,2,필기+실기,1,1,,2,1,총 합격률,
브레인트레이너,M074,국가민간자격,1,공인,335,62.09,,,,,393,70.99,,,,,445,53.93,,,,,3,필기+실기,1,1,,2,2,총 합격률,
상공회의소한자 1급,M075,국가민간자격,2,"부분공인 1급, 2급, 3급",1062,16.48,,,,,2408,17.82,,,,,3020,16.19,,,,,1,필기,1,,,1,4,,
상공회의소한자 2급,M076,국가민간자격,2,"부분공인 1급, 2급, 3급",1905,18.9,,,,,1971,19.38,,,,,1788,19.69,,,,,1,필기,1,,,1,4,,
상공회의소한자 3급,M077,국가민간자격,2,"부분공인 1급, 2급, 3급",7991,43.12,,,,,5685,40.32,,,,,6139,37.45,,,,,1,필기,1,,,1,3,,
샵마스터,M078,국가민간자격,2,부분공인 3급,,,,,,,,,,,,,,,,,,,6,필기+필기,1,,,1,,"1차필기(객관식), 2차필기(주관식), 합격률은 2017년까지밖에 없음",
세무회계 1급,M079,국가민간자격,1,"공인 1급, 2급, 3급",379,22.69,,,,,422,17.54,,,,,703,31.44,,,,,6,필기,1,,,1,4,,
세무회계 2급,M080,국가민간자격,1,"공인 1급, 2급, 3급",1137,39.84,,,,,1064,37.69,,,,,1353,38.8,,,,,6,필기,1,,,1,3,,
세무회계 3급,M081,국가민간자격,1,"공인 1급, 2급, 3급",813,58.06,,,,,740,50.68,,,,,800,56.5,,,,,6,필기,1,,,1,1,,
소프트웨어자산관리사(C-SAM),M082,국가민간자격,2,부분공인 2급,,,,,,,,,,,,,,,,,,,2,필기,1,,,1,,2021까지 합격률만 존재,
수화통역사,M083,국가민간자격,1,공인,763,3.28,,,,,716,5.73,,,,,759,2.37,,,,,1,필기+실기+연수,1,1,,2,5,연수까지 받아야 자격증 발급,
스마트해상물류관리사,M084,국가민간자격,1,공인,148,90.54,,,,,349,38.4,,,,,598,48.33,,,,,1,필기,1,,,1,1,,
시스템에어컨설계시공관리사,M085,국가민간자격,1,공인,52,44.23,,,,,36,41.67,,,,,71,49.3,,,,,2,필기,1,,,1,2,,
신변보호사,M086,국가민간자격,1,공인,0,0,,,,,452,63.94,,,,,318,44.97,,,,,1,필기+실기,1,1,,2,4,총 합격률,
신용관리사,M087,국가민간자격,1,공인,1480,60.81,,,,,2025,60.89,,,,,2305,66.64,,,,,1,필기,1,,,1,1,,
신용분석사,M088,국가민간자격,1,공인,9918,26.78,,,,,8965,25.03,,,,,11203,29.67,,,,,3,필기,1,,,1,4,,
신용상담사,M089,국가민간자격,1,공인,1013,13.72,,,,,977,24.46,,,,,1651,33.37,,,,,1,필기,1,,,1,4,,
신용위험분석사(CRA),M090,국가민간자격,1,공인,126,20.63,,,,,125,11.2,,,,,81,12.35,,,,,2,필기+필기,1,,,1,4,총 합격률,
실내디자이너,M091,국가민간자격,1,공인,120,12.5,,,,,46,15.22,,,,,37,16.22,,,,,1,필기+실기,1,1,,2,5,총 합격률,
실천예절지도사,M092,국가민간자격,1,공인,154,59.74,,,,,127,40.16,,,,,167,37.13,,,,,3,필기+실기+면접,1,1,1,3,4,총 합격률,
여신심사역,M093,국가민간자격,1,공인,134,47.01,,,,,184,46.2,,,,,190,61.58,,,,,2,필기,1,,,1,1,,
열쇠관리사 1급,M094,국가민간자격,1,"공인 1급, 2급",4,0,,,,,2,50,,,,,1,100,,,,,2,필기,1,,,1,1,,
열쇠관리사 2급,M095,국가민간자격,1,"공인 1급, 2급",3,33.33,,,,,4,50,,,,,0,0,,,,,2,필기,1,,,1,2,,
영상정보관리사,M096,국가민간자격,1,공인,561,63.81,,,,,609,61.74,,,,,458,56.33,,,,,4,필기+실기,1,1,,2,2,총 합격률,
옥외광고사,M097,국가민간자격,1,공인,1356,47.12,,,,,1303,52.11,,,,,1309,45.45,,,,,2,필기+실기,1,1,,2,4,총 합격률,
원가분석사,M098,국가민간자격,1,공인,226,64.16,,,,,343,62.97,,,,,304,44.74,,,,,2,필기,1,,,1,1,,
원산지관리사,M099,국가민간자격,1,공인,1516,34.7,,,,,1619,27.98,,,,,1521,43.85,,,,,2,필기,1,,,1,3,,
의료기기RA전문가,M100,국가민간자격,2,부분공인 2급,,,,,,,,,,,,,,,,,,,2,필기,1,,,1,,2020년까지 합격률 존재,
자동차진단평가사 1급,M101,국가민간자격,2,"부분공인 1급, 2급",116,62.07,,,,,214,54.67,,,,,141,29.79,,,,,1,필기+실기,1,1,,2,3,,
자동차진단평가사 2급,M102,국가민간자격,2,"부분공인 1급, 2급",1007,65.14,,,,,1697,51.09,,,,,1266,45.81,,,,,4,필기+실기,1,1,,2,3,,
자산관리사(FP),M103,국가민간자격,1,공인,4358,29.03,,,,,4005,31.14,,,,,3977,26.35,,,,,3,필기,1,,,1,4,,
재경관리사,M104,국가민간자격,1,공인,17553,23.91,,,,,20223,26.78,,,,,23405,25.98,,,,,8,필기,1,,,1,4,,
전산세무회계 전산세무 1급,M105,국가민간자격,1,"공인 전산세무 1급, 전산세무 2급, 전산회계 1급, 전산회계 2급",10874,11.61,,,,,11138,18.58,,,,,12941,17.29,,,,,6,필기+실기,1,1,,2,5,,
전산세무회계 전산세무 2급,M106,국가민간자격,1,"공인 전산세무 1급, 전산세무 2급, 전산회계 1급, 전산회계 2급",49568,40.85,,,,,48701,34.66,,,,,50885,35.02,,,,,6,필기+실기,1,1,,2,5,,
전산세무회계 전산회계 1급,M107,국가민간자격,1,"공인 전산세무 1급, 전산세무 2급, 전산회계 1급, 전산회계 2급",69501,45.53,,,,,68843,34.81,,,,,67752,43.43,,,,,6,필기+실기,1,1,,2,5,,
전산세무회계 전산회계 2급,M108,국가민간자격,1,"공인 전산세무 1급, 전산세무 2급, 전산회계 1급, 전산회계 2급",32331,57.23,,,,,31935,57.41,,,,,32346,56.34,,,,,6,필기+실기,1,1,,2,3,,
점역교정사 1급,M109,국가민간자격,1,"공인 1급, 2급, 3급",124,8.87,,,,,132,16.67,,,,,136,15.44,,,,,2,필기,1,,,1,4,,
점역교정사 2급,M110,국가민간자격,1,"공인 1급, 2급, 3급",124,37.9,,,,,132,27.27,,,,,136,22.06,,,,,2,필기,1,,,1,3,,
점역교정사 3급,M111,국가민간자격,1,"공인 1급, 2급, 3급",323,35.29,,,,,344,36.34,,,,,349,24.36,,,,,2,필기,1,,,1,3,,
정보기술자격(ITQ) A급,M112,국가민간자격,1,"공인 A급,B급,C급",241754,58.7,,,,,247460,57.71,,,,,245068,57.31,,,,,16,실기,,1,,1,3,,
정보기술자격(ITQ) B급,M113,국가민간자격,1,"공인 A급,B급,C급",241754,22.7,,,,,247460,22.75,,,,,245068,23.34,,,,,16,실기,,1,,1,5,,
정보기술자격(ITQ) C급,M114,국가민간자격,1,"공인 A급,B급,C급",241754,10.85,,,,,247460,11.32,,,,,245068,11.59,,,,,16,실기,,1,,1,5,,
정보기술프로젝트관리전문가(IT-PMP),M115,국가민간자격,1,공인,68,58.82,,,,,68,66.18,,,,,67,73.13,,,,,2,필기+면접,1,,1,2,1,,
정보시스템감리사,M116,국가민간자격,1,공인,414,8.94,,,,,516,9.88,,,,,559,7.69,,,,,25,필기+면접+교육이수,1,,1,2,5,,
조경수조성관리사 2급,M117,국가민간자격,1,"공인 2급, 3급",2,100,,,,,2,100,,,,,1,100,,,,,1,필기+실기,1,1,,2,1,"2018,2019,2021합격률이 최신이라 이렇게 해서 순서대로 진행했음",
AFPK(재무설계사),M119,국가민간자격,,,5588,36.04,,,,,5189,33.47,,,,,5547,33.08,,,,,3,필기,1,0,0,1,2,비공인,
전산회계,M120,국가민간자격,,"1급, 2급",,,,,,,,,,,,,,,,,,,,,,,,0,,2019년 합격률까지밖에 안나옴,
정책분석평가사 1급,M121,국가민간자격,,"1급,2급,3급",10,10,,,,,6,50,,,,,6,50,,,,,2,필기,1,0,0,1,1,비공인,
조향사,M122,국가민간자격,,1급,,,,,,,34,94.12,,,,,96,95.83,,,,,52,필기,1,0,0,1,1,비공인,
주얼리마스터,M123,국가민간자격,,"1급, 2급",,,,,,,,,,,,,,,,,,,,,,,,0,,2021년까지밖에 안나옴,
통번역사,M124,국가민간자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,언어별로 통번역사 EX.일본어통번역사 이렇게 있는데 합격률 안나옴,
푸드코디네이터,M125,국가민간자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"한국식공간학회에서 주관, 근데 2015년까지밖에 합격률이 없음",
피부관리사,M126,국가민간자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인이며 공식적이나 블로그에도 합격률이 안나와있음,
게임그래픽전문가,M127,국가민간자격,,,1870,51.3,1210,52.1,,,2020,53.7,1360,54.4,,,2150,55.1,1420,54.9,,,2,필기+실기,1,1,0,2,1,,
한방병원행정사,M129,국가민간자격,,,2549,76.38,,,,,,,,,,,,,,,,,1,필기,1,0,0,1,1,"2023년,24년 안나옴….. 병원행정사처럼",
두피타투(SMP)디자이너 지도사,M131,국가민간자격,,,,,,,,,47,95.74,,,,,4,75,,,,,2,필기+실기,1,0,0,1,1,비공인,
두피타투(SMP)디자이너 1급,M132,국가민간자격,,,,,,,,,10,100,,,,,22,95.45,,,,,3,필기+실기,1,0,0,1,1,비공인,
멀티미디어전문가,M133,국가민간자격,,,,,,,,,13,92.31,,,,,,,,,,,1,필기,1,0,0,1,1,23년도밖에 없음 합격률,
게임기획전문가,M135,국가민간자격,,,2310,48.3,1560,48.4,,,2560,49.6,1780,49.7,,,2780,50.5,1920,50.5,,,2,필기+실기,1,1,0,2,2,,
게임프로그래밍전문가,M136,국가민간자격,,,2420,45,1630,45.4,,,2780,46.4,1870,46.8,,,3020,47.7,2010,47.5,,,2,필기+실기,1,1,0,2,2,,
경영정보시각화능력,M137,국가민간자격,,상공회의소 자격,2410,58.7,,,,,2620,60.4,,,,,,,,,,,2,필기+실기,1,1,0,2,1,,
기업재난관리사,M138,국가민간자격,,,2351,62.8,2351,53,,,2578,63,2578,53.9,,,2746,63.7,2746,55,,,2,필기+실기,1,1,0,2,1,,
무역영어 2급,M139,국가민간자격,1,공인,1437,16.42,,,,,1177,18.44,,,,,1355,22.88,,,,,8,필기,1,,,1,4,"22,23년도는 검정횟수 52",
무역영어 3급,M140,국가민간자격,1,공인,1063,34.05,,,,,1063,32.27,,,,,877,39.57,,,,,8,필기,1,,,1,3,"22,23년도는 검정횟수 52",
방재안전관리사,M141,국가민간자격,,,1265,55.2,1265,48.4,,,1423,56.5,1423,50.1,,,,,,,,,2,필기+면접,1,0,1,2,1,,
번역능력인정시험(TCT)2급,M142,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,3,필기,1,,,1,,"영어, 일본어, 중국어(북경어), 독어, 불어, 스페인어, 러시아어, 베트남어",
조경수조성관리사 3급,M143,국가민간자격,1,"공인 2급, 3급",4,100,,,,,7,100,,,,,5,75,,,,,1,필기+실기,1,1,,2,1,"2018,19,21년도 순으로함",
번역능력인정시험(TCT)3급,M144,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,3,필기,1,,,1,,"영어, 일본어, 중국어(북경어), 독어, 불어, 스페인어, 러시아어, 베트남어",
보험심사평가사 2급,M145,국가민간자격,,"일부 공인, 일부 비공인",1309,79.98,,,,,1250,79.44,,,,,,,,,,,2,필기+실기,1,1,0,2,1,비공인,
종이접기,M151,국가민간자격,2,부분공인 마스터,73,35.62,,,,,85,43.53,,,,,,,,,,,4,필기+실기,1,1,,2,4,2023년까지 정보 존재,
주거복지사,M152,국가민간자격,1,공인,1043,66.16,,,,,1015,24.53,,,,,1015,72.03,,,,,1,사전이수과목 + 필기,1,,,1,2,사전이수과목 이수 후 시험자격,
지능형홈관리사,M153,국가민간자격,1,공인,509,60.51,,,,,451,48.34,,,,,593,60.88,,,,,5,필기+실기,1,1,,2,2,2024부터 공인,
지식재산능력시험 1급,M154,국가민간자격,2,"부분공인 1급, 2급, 3급, 4급",3981,83,,,,,5101,86,,,,,4967,60,,,,,2,필기,1,,,1,1,,
지식재산능력시험 2급,M155,국가민간자격,2,"부분공인 1급, 2급, 3급, 4급",3981,5.25,,,,,5101,6.06,,,,,4967,2.42,,,,,2,필기,1,,,1,5,,
지식재산능력시험 3급,M156,국가민간자격,2,"부분공인 1급, 2급, 3급, 4급",3981,8.26,,,,,5101,10.45,,,,,4967,5.98,,,,,2,필기,1,,,1,5,,
지식재산능력시험 4급,M157,국가민간자격,2,"부분공인 1급, 2급, 3급, 4급",3981,11.93,,,,,5101,13.04,,,,,4967,11.19,,,,,2,필기,1,,,1,5,,
청소년경제이해력검증시험 주니어 TESAT(테샛) S급,M158,국가민간자격,1,"공인 S급, 1급, 2급, 3급",126,19.84,,,,,131,2.29,,,,,112,4.46,,,,,3,필기,1,,,1,4,2018-2020합격률,
