cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr,cert_grade_tier,exam_difficulty,exam_type_info,exam_pass_rate,exam_frequency,exam_subject_info,exam_fee_info,exam_eligibility_info
cert_0046,에너지기술사(원자력),에너지기술사(원자력),에너지기술사(원자력),,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,,,17.8,4_기술사,,,,연 2회,,,
cert_0047,에너지기술사(방사선가공),에너지기술사(방사선가공),에너지기술사(방사선가공),,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,,,80.77,4_기술사,,,,연 2회,,,
cert_0048,도시계획기술사,도시계획기술사,도시계획기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,도시.교통,qnet_major_list_2025,3.6,59.43333333333334,64.27,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 37.9%,연 3회,필기 + 실기 + 면접,,
cert_0049,"대기관리,수질관리,소음진동기술사","대기관리,수질관리,소음진동기술사","대기관리,수질관리,소음진동기술사",,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,,,40.2,4_기술사,,,,연 2회,,,
cert_0050,조경기술사,조경기술사,조경기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,조경,qnet_major_list_2025,5.9,46.15,35.0,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 35.0%,연 2회,필기 + 실기,,
cert_0051,측량및지형공간정보기술사,측량및지형공간정보기술사,측량및지형공간정보기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,10.35,44.55,40.6,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 40.6%,연 2회,필기 + 실기,,
cert_0052,지적기술사,지적기술사,지적기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,5.7,33.65,42.42,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 42.4%,연 2회,필기 + 실기,,
cert_0053,해양기술사,해양기술사,해양기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,13.3,50.0,37.28,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 37.3%,연 1회,필기 + 실기,,
cert_0054,수산양식기술사,수산양식기술사,수산양식기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,어업,qnet_major_list_2025,44.4,33.3,66.1,4_기술사,2.0,필기+실기,최근 평균 합격률(종합): 66.1%,연 1회,필기 + 실기,,
cert_0055,어업기술사,어업기술사,어업기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,어업,qnet_major_list_2025,38.5,80.0,81.67,4_기술사,2.0,필기+실기,최근 평균 합격률(종합): 81.7%,연 1회,필기 + 실기,,
cert_0056,기계안전기술사,기계안전기술사,기계안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,7.6,42.650000000000006,27.7,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 27.7%,연 2회,필기 + 실기 + 면접,,
cert_0057,화공안전기술사,화공안전기술사,화공안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,6.300000000000001,42.75,23.37,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 23.4%,연 2회,필기 + 실기,,
cert_0058,전기안전기술사,전기안전기술사,전기안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,13.9,33.0,21.58,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 21.6%,연 2회,필기 + 실기 + 면접,,
cert_0059,건설안전기술사,건설안전기술사,건설안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,4.166666666666667,32.9,24.53,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 24.5%,연 3회,필기 + 실기,,
cert_0060,소방기술사,소방기술사,소방기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,0.8333333333333334,29.7,22.28,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 22.3%,연 3회,필기 + 실기,,
cert_0061,산업위생관리기술사,산업위생관리기술사,산업위생관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,12.85,18.25,16.68,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 16.7%,연 2회,필기 + 실기 + 면접,,
cert_0062,가스기술사,가스기술사,가스기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,42.6,53.8,40.5,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 40.5%,연 1회,필기 + 실기,,
cert_0063,공장관리기술사,공장관리기술사,공장관리기술사,,Q-Net,True,국가기술자격,기술사,17,경영/비즈니스,생산관리,qnet_major_list_2025,34.8,41.9,38.38,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 38.4%,연 1회,필기 + 실기,,
cert_0064,품질관리기술사,품질관리기술사,품질관리기술사,,Q-Net,True,국가기술자격,기술사,17,경영/비즈니스,생산관리,qnet_major_list_2025,17.25,35.25,33.17,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 33.2%,연 2회,필기 + 실기,,
cert_0065,포장기술사,포장기술사,포장기술사,,Q-Net,True,국가기술자격,기술사,17,경영/비즈니스,생산관리,qnet_major_list_2025,31.3,31.3,41.45,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 41.4%,연 1회,필기 + 실기,,
cert_0066,세라믹기술사,세라믹기술사,세라믹기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,66.7,100.0,30.48,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 30.5%,연 1회,필기 + 실기,,
cert_0067,식품기술사,식품기술사,식품기술사,,Q-Net,True,국가기술자격,기술사,30,교육/생활서비스,식품,qnet_major_list_2025,38.75,37.75,26.38,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 26.4%,연 2회,필기 + 실기 + 면접,,
cert_0068,산림기술사,산림기술사,산림기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,임업,qnet_major_list_2025,6.4,33.55,22.43,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 22.4%,연 2회,필기 + 실기 + 면접,,
cert_0069,비파괴검사기술사,비파괴검사기술사,비파괴검사기술사,,Q-Net,True,국가기술자격,기술사,15,엔지니어링/산업기술,비파괴검사,qnet_major_list_2025,35.0,37.5,32.22,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 32.2%,연 1회,필기 + 실기 + 면접,,
cert_0070,수산제조기술사,수산제조기술사,수산제조기술사,,Q-Net,True,국가기술자격,기술사,30,교육/생활서비스,식품,qnet_major_list_2025,56.3,27.3,56.0,4_기술사,4.0,필기+실기+면접,최근 평균 합격률(종합): 56.0%,연 1회,필기 + 실기 + 면접,,
cert_0071,지질및지반기술사,지질및지반기술사,지질및지반기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,22.15,66.45,33.13,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 33.1%,연 2회,필기 + 실기,,
cert_0072,종자기술사,종자기술사,종자기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,농업,qnet_major_list_2025,20.0,25.0,41.23,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 41.2%,연 1회,필기 + 실기,,
cert_0073,시설원예기술사,시설원예기술사,시설원예기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,농업,qnet_major_list_2025,4.7,40.0,28.42,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 28.4%,연 1회,필기 + 실기 + 면접,,
cert_0074,축산기술사,축산기술사,축산기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,축산,qnet_major_list_2025,35.0,50.0,35.27,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 35.3%,연 1회,필기 + 실기,,
cert_0075,기계기술사(정밀측정),기계기술사(정밀측정),기계기술사(정밀측정),,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계제작,qnet_major_list_2025,,,,4_기술사,,,,연 2회,,,
cert_0076,기계기술사,기계기술사,기계기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계제작,qnet_major_list_2025,12.3,38.5,28.08,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 28.1%,연 1회,필기 + 실기 + 면접,,
cert_0077,인간공학기술사,인간공학기술사,인간공학기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,29.5,34.4,39.45,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 39.4%,연 1회,필기 + 실기 + 면접,,
cert_0078,원자력발전기술사,원자력발전기술사,원자력발전기술사,,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,29.17,66.67,47.92,4_기술사,4.0,필기+실기+면접,최근 평균 합격률(종합): 47.9%,연 1회,필기 + 실기 + 면접,,
cert_0079,기상예보기술사,기상예보기술사,기상예보기술사,,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,38.1,53.3,39.13,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 39.1%,연 1회,필기 + 실기 + 면접,,
cert_0080,방사선관리기술사,방사선관리기술사,방사선관리기술사,,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,12.87,38.87,25.87,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 25.9%,연 1회,필기 + 실기 + 면접,,
cert_0081,대기관리기술사,대기관리기술사,대기관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,9.9,45.5,27.15,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 27.2%,연 1회,필기 + 실기 + 면접,,
cert_0082,수질관리기술사,수질관리기술사,수질관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,11.75,42.0,32.48,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 32.5%,연 2회,필기 + 실기 + 면접,,
cert_0083,자연환경관리기술사,자연환경관리기술사,자연환경관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,3.85,50.0,29.55,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 29.5%,연 2회,필기 + 실기 + 면접,,
cert_0084,소음진동기술사,소음진동기술사,소음진동기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,5.5,20.0,30.95,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 30.9%,연 1회,필기 + 실기,,
cert_0085,토양환경기술사,토양환경기술사,토양환경기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,30.4,88.9,43.72,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 43.7%,연 1회,필기 + 실기,,
cert_0086,농화학기술사,농화학기술사,농화학기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,농업,qnet_major_list_2025,15.8,100.0,44.9,4_기술사,4.0,필기+실기+면접,최근 평균 합격률(종합): 44.9%,연 1회,필기 + 실기 + 면접,,
cert_0087,교통기술사,교통기술사,교통기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,도시.교통,qnet_major_list_2025,11.25,73.30000000000001,47.47,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 47.5%,연 2회,필기 + 실기,,
cert_0088,제품디자인기술사,제품디자인기술사,제품디자인기술사,,Q-Net,True,국가기술자격,기술사,33,크리에이티브/미디어,디자인,qnet_major_list_2025,31.0,27.8,55.4,4_기술사,3.0,필기+실기,최근 평균 합격률(종합): 55.4%,연 1회,필기 + 실기,,
cert_0089,폐기물처리기술사,폐기물처리기술사,폐기물처리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,25.8,31.6,30.03,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 30.0%,연 1회,필기 + 실기,,
cert_0090,일반기계기사,일반기계기사,일반기계기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계제작,qnet_major_list_2025,33.37,44.9,39.13,3_기사,4.0,필기+실기,최근 평균 합격률(종합): 39.1%,연 3회,필기 + 실기,,
cert_0091,용접기사,용접기사,용접기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,용접,qnet_major_list_2025,21.73,27.93,24.83,3_기사,5.0,필기+실기,최근 평균 합격률(종합): 24.8%,연 2회,필기 + 실기,,
cert_0092,농업기계기사,농업기계기사,농업기계기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,6.67,50.0,28.33,3_기사,4.0,필기+실기,최근 평균 합격률(종합): 28.3%,연 1회,필기 + 실기,,
cert_0093,사출금형기사,사출금형기사,사출금형기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,금형.공작기계,qnet_major_list_2025,30.27,54.63,42.45,3_기사,3.0,필기+실기,최근 평균 합격률(종합): 42.5%,연 1회,필기 + 실기,,
