major_id,major_name,normalized_key,source_id,is_active
major_qnet_3629,전통복식디자인과,전통복식디자인과,qnet_udept_oblig_list,True
major_qnet_3630,전통약재개발과,전통약재개발과,qnet_udept_oblig_list,True
major_qnet_3631,전통약재과,전통약재과,qnet_udept_oblig_list,True
major_qnet_3632,전통약재관리과,전통약재관리과,qnet_udept_oblig_list,True
major_qnet_3633,전통음식문화전공,전통음식문화전공,qnet_udept_oblig_list,True
major_qnet_3634,전통의상과,전통의상과,qnet_udept_oblig_list,True
major_qnet_3635,전통조경학과,전통조경학과,qnet_udept_oblig_list,True
major_qnet_3636,전통조리과,전통조리과,qnet_udept_oblig_list,True
major_qnet_3637,전통종교미술학과,전통종교미술학과,qnet_udept_oblig_list,True
major_qnet_3638,전통패션문화전공,전통패션문화전공,qnet_udept_oblig_list,True
major_qnet_3639,전파·전기시스템·전자통신공학과군,전파전기시스템전자통신공학과군,qnet_udept_oblig_list,True
major_qnet_3640,전파공학,전파공학,qnet_udept_oblig_list,True
major_qnet_3641,전파이동통신공학,전파이동통신공학,qnet_udept_oblig_list,True
major_qnet_3642,전파이동통신학과,전파이동통신학과,qnet_udept_oblig_list,True
major_qnet_3643,전파정보통신공학부,전파정보통신공학부,qnet_udept_oblig_list,True
major_qnet_3644,전파통신공학,전파통신공학,qnet_udept_oblig_list,True
major_qnet_3645,전파통신(학),전파통신학,qnet_udept_oblig_list,True
major_qnet_3647,정밀계측,정밀계측,qnet_udept_oblig_list,True
major_qnet_3648,정밀공업화학,정밀공업화학,qnet_udept_oblig_list,True
major_qnet_3649,정밀기계,정밀기계,qnet_udept_oblig_list,True
major_qnet_3650,정밀기계.기계설계.자동차공학과군,정밀기계기계설계자동차공학과군,qnet_udept_oblig_list,True
major_qnet_3651,정밀기계공학,정밀기계공학,qnet_udept_oblig_list,True
major_qnet_3652,정밀기계공학토목공학과군,정밀기계공학토목공학과군,qnet_udept_oblig_list,True
major_qnet_3654,정밀기계설계과,정밀기계설계과,qnet_udept_oblig_list,True
major_qnet_3655,정밀기계시스템과,정밀기계시스템과,qnet_udept_oblig_list,True
major_qnet_3656,정밀기술공학전공,정밀기술공학전공,qnet_udept_oblig_list,True
major_qnet_3657,정밀응용화학과,정밀응용화학과,qnet_udept_oblig_list,True
major_qnet_3658,정밀화학,정밀화학,qnet_udept_oblig_list,True
major_qnet_3659,"정밀화학공학(부,전공)",정밀화학공학부전공,qnet_udept_oblig_list,True
major_qnet_3660,정밀화학신소재학과,정밀화학신소재학과,qnet_udept_oblig_list,True
major_qnet_3661,"정보·컴퓨터공학(부,전공)",정보컴퓨터공학부전공,qnet_udept_oblig_list,True
major_qnet_3662,정보검색과,정보검색과,qnet_udept_oblig_list,True
major_qnet_3663,정보검색통계전공,정보검색통계전공,qnet_udept_oblig_list,True
major_qnet_3664,정보경영전공,정보경영전공,qnet_udept_oblig_list,True
major_qnet_3665,정보계열,정보계열,qnet_udept_oblig_list,True
major_qnet_3667,"정보공학(과,부,전공)",정보공학과부전공,qnet_udept_oblig_list,True
major_qnet_3668,"정보과학(과,전공,부,계열)",정보과학과전공부계열,qnet_udept_oblig_list,True
major_qnet_3669,정보관리(학),정보관리학,qnet_udept_oblig_list,True
major_qnet_3671,정보기계공학전공,정보기계공학전공,qnet_udept_oblig_list,True
major_qnet_3672,정보기술(학)(과ㆍ전공ㆍ부ㆍ계열),정보기술학과전공부계열,qnet_udept_oblig_list,True
major_qnet_3673,"정보기술공학(과,부,과군)",정보기술공학과부과군,qnet_udept_oblig_list,True
major_qnet_3674,정보기술교육전공,정보기술교육전공,qnet_udept_oblig_list,True
major_qnet_3675,정보기술응용공학전공,정보기술응용공학전공,qnet_udept_oblig_list,True
major_qnet_3676,정보기술컴퓨터공학부,정보기술컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3678,정보네트워크공학전공,정보네트워크공학전공,qnet_udept_oblig_list,True
major_qnet_3679,정보네트워크전공,정보네트워크전공,qnet_udept_oblig_list,True
major_qnet_3680,정보디스플레이학과,정보디스플레이학과,qnet_udept_oblig_list,True
major_qnet_3681,"정보디자인(과,학부,계열)",정보디자인과학부계열,qnet_udept_oblig_list,True
major_qnet_3682,정보매체공학부,정보매체공학부,qnet_udept_oblig_list,True
major_qnet_3683,정보메카트로닉스전공,정보메카트로닉스전공,qnet_udept_oblig_list,True
major_qnet_3684,정보물리학,정보물리학,qnet_udept_oblig_list,True
major_qnet_3685,"정보미디어(학)(과,부,전공,과군)",정보미디어학과부전공과군,qnet_udept_oblig_list,True
major_qnet_3686,정보및컴퓨터공학부,정보및컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3687,정보방송학,정보방송학,qnet_udept_oblig_list,True
major_qnet_3688,정보보안,정보보안,qnet_udept_oblig_list,True
major_qnet_3689,정보보안·해킹,정보보안해킹,qnet_udept_oblig_list,True
major_qnet_3690,정보보안공학과,정보보안공학과,qnet_udept_oblig_list,True
major_qnet_3691,정보보호(학),정보보호학,qnet_udept_oblig_list,True
major_qnet_3692,정보보호공학전공,정보보호공학전공,qnet_udept_oblig_list,True
major_qnet_3693,정보보호관리학전공,정보보호관리학전공,qnet_udept_oblig_list,True
major_qnet_3694,정보보호기술공학과,정보보호기술공학과,qnet_udept_oblig_list,True
major_qnet_3695,정보보호및전자상거래학과,정보보호및전자상거래학과,qnet_udept_oblig_list,True
major_qnet_3696,정보보호시스템전공,정보보호시스템전공,qnet_udept_oblig_list,True
major_qnet_3697,정보분석학과,정보분석학과,qnet_udept_oblig_list,True
major_qnet_3698,정보사무자동화과,정보사무자동화과,qnet_udept_oblig_list,True
major_qnet_3699,정보산업(학)(과ㆍ부ㆍ전공ㆍ계열),정보산업학과부전공계열,qnet_udept_oblig_list,True
major_qnet_3700,정보산업공학,정보산업공학,qnet_udept_oblig_list,True
major_qnet_3701,정보산업디자인과,정보산업디자인과,qnet_udept_oblig_list,True
major_qnet_3703,정보소자공학전공,정보소자공학전공,qnet_udept_oblig_list,True
major_qnet_3704,정보소자학과,정보소자학과,qnet_udept_oblig_list,True
major_qnet_3705,정보소재공학,정보소재공학,qnet_udept_oblig_list,True
major_qnet_3706,정보수리·전산통계학과군,정보수리전산통계학과군,qnet_udept_oblig_list,True
major_qnet_3707,정보수리과학부,정보수리과학부,qnet_udept_oblig_list,True
major_qnet_3708,정보수리ㆍ전산통계학부,정보수리전산통계학부,qnet_udept_oblig_list,True
major_qnet_3709,정보수리프로그래밍전공,정보수리프로그래밍전공,qnet_udept_oblig_list,True
major_qnet_3710,정보수리학,정보수리학,qnet_udept_oblig_list,True
major_qnet_3711,정보수학,정보수학,qnet_udept_oblig_list,True
major_qnet_3712,정보수학·전산통계학학과군,정보수학전산통계학학과군,qnet_udept_oblig_list,True
major_qnet_3713,"정보시스템(학)(과,전공,과군)",정보시스템학과전공과군,qnet_udept_oblig_list,True
major_qnet_3714,정보시스템개발학과,정보시스템개발학과,qnet_udept_oblig_list,True
major_qnet_3715,"정보시스템공학(과,부,전공)",정보시스템공학과부전공,qnet_udept_oblig_list,True
major_qnet_3716,정보ㆍ컴퓨터공학전공,정보컴퓨터공학전공,qnet_udept_oblig_list,True
major_qnet_3717,정보영상학부,정보영상학부,qnet_udept_oblig_list,True
major_qnet_3718,정보응용학부,정보응용학부,qnet_udept_oblig_list,True
major_qnet_3719,정보자동화공학부,정보자동화공학부,qnet_udept_oblig_list,True
major_qnet_3720,정보전산(학)(과ㆍ전공ㆍ부ㆍ공학과),정보전산학과전공부공학과,qnet_udept_oblig_list,True
major_qnet_3721,정보전산공무원계열,정보전산공무원계열,qnet_udept_oblig_list,True
major_qnet_3722,정보전산소재공학과,정보전산소재공학과,qnet_udept_oblig_list,True
major_qnet_3724,정보전송설비과,정보전송설비과,qnet_udept_oblig_list,True
major_qnet_3725,"정보전자(과,전공,계열)",정보전자과전공계열,qnet_udept_oblig_list,True
major_qnet_3726,"정보전자공학(과,부,전공,과군)",정보전자공학과부전공과군,qnet_udept_oblig_list,True
major_qnet_3727,정보전자공학교육과,정보전자공학교육과,qnet_udept_oblig_list,True
major_qnet_3728,정보전자영상공학부,정보전자영상공학부,qnet_udept_oblig_list,True
major_qnet_3729,정보전자전기공학과군,정보전자전기공학과군,qnet_udept_oblig_list,True
major_qnet_3730,정보전자통신계열,정보전자통신계열,qnet_udept_oblig_list,True
major_qnet_3731,정보전자통신공학부,정보전자통신공학부,qnet_udept_oblig_list,True
major_qnet_3732,정보전자통신과,정보전자통신과,qnet_udept_oblig_list,True
major_qnet_3733,정보전자학과군,정보전자학과군,qnet_udept_oblig_list,True
major_qnet_3734,"정보제어계측공학(과,부)",정보제어계측공학과부,qnet_udept_oblig_list,True
major_qnet_3735,정보제어공학,정보제어공학,qnet_udept_oblig_list,True
major_qnet_3736,정보처리(학)(과ㆍ전공ㆍ계열),정보처리학과전공계열,qnet_udept_oblig_list,True
major_qnet_3738,정보처리공학과,정보처리공학과,qnet_udept_oblig_list,True
major_qnet_3739,정보처리실무전공,정보처리실무전공,qnet_udept_oblig_list,True
major_qnet_3740,정보처리응용과,정보처리응용과,qnet_udept_oblig_list,True
major_qnet_3742,정보출판과,정보출판과,qnet_udept_oblig_list,True
major_qnet_3743,정보컨텐츠과,정보컨텐츠과,qnet_udept_oblig_list,True
major_qnet_3744,정보컨텐츠디자인전공,정보컨텐츠디자인전공,qnet_udept_oblig_list,True
major_qnet_3745,정보컴퓨터공학부,정보컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3746,정보컴퓨터학부,정보컴퓨터학부,qnet_udept_oblig_list,True
major_qnet_3747,정보콘텐츠과,정보콘텐츠과,qnet_udept_oblig_list,True
major_qnet_3748,정보통계(학),정보통계학,qnet_udept_oblig_list,True
major_qnet_3749,정보통계·보험수리학과,정보통계보험수리학과,qnet_udept_oblig_list,True
major_qnet_3750,정보통신(학)(과ㆍ부ㆍ전공ㆍ과군),정보통신학과부전공과군,qnet_udept_oblig_list,True
major_qnet_3751,"정보통신공학(과,부,전공,과군,계열)",정보통신공학과부전공과군계열,qnet_udept_oblig_list,True
major_qnet_3753,정보통신과학과,정보통신과학과,qnet_udept_oblig_list,True
major_qnet_3754,정보통신기계과,정보통신기계과,qnet_udept_oblig_list,True
major_qnet_3755,정보통신네트워크전공,정보통신네트워크전공,qnet_udept_oblig_list,True
major_qnet_3756,정보통신디지털영상학부,정보통신디지털영상학부,qnet_udept_oblig_list,True
major_qnet_3757,정보통신멀티미디어공학부,정보통신멀티미디어공학부,qnet_udept_oblig_list,True
major_qnet_3758,정보통신미디어계열,정보통신미디어계열,qnet_udept_oblig_list,True
major_qnet_3759,"정보통신및컴퓨터공학(과,부,전공)",정보통신및컴퓨터공학과부전공,qnet_udept_oblig_list,True
major_qnet_3760,정보통신사이버경찰학과,정보통신사이버경찰학과,qnet_udept_oblig_list,True
