section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,Top2(③+④),69.959,42.988,486,5027,130.0643,0.0,0.5513,26.971,True
【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,10년 이상,21.495,4.211,486,5027,242.1242,0.0,0.5508,17.284,True
【C7x9】 기타▶제공 기간,2~3개월 정도,0.0,7.895,486,5027,41.3595,0.0,0.5496,-7.895,True
【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,3개월 미만,9.346,30.526,486,5027,98.1129,0.0,0.5494,-21.18,True
"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람",가족/친척,50.0,76.049,486,5027,155.3426,0.0,0.548,-26.049,True
【B6_1 TO B6_6】 PC/모바일 기기 활동,SNS나 채팅 등으로 누군가와 대화,25.203,51.033,486,5027,119.1836,0.0,0.5396,-25.83,True
"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람",가족/친척,52.263,77.482,486,5027,151.3576,0.0,0.5367,-25.219,True
"【A2_1_8】 미취업 이유▶심리적 또는 정신적인 어려움(우울, 불안, 공황, 대인기피, 조현병 등) 때문에",아니오 (해당하지 않음),59.589,83.289,486,5027,162.0041,0.0,0.5356,-23.7,True
"【A2_1_8】 미취업 이유▶심리적 또는 정신적인 어려움(우울, 불안, 공황, 대인기피, 조현병 등) 때문에",예 (해당함),40.411,16.711,486,5027,162.0041,0.0,0.5356,23.7,True
【B9_1】 자기관리 및 청결 ▶옷을 갈아입는다,매일,44.856,70.877,486,5027,139.2632,0.0,0.5338,-26.021,True
【B12_9】 우울 척도▶차라리 죽는 것이 더 낫겠다고 생각했다/혹은 자해할 생각을 했다.,거의 매일,18.313,3.103,486,5027,241.4082,0.0,0.5303,15.21,True
【B1_5】 평소 생활 패턴▶나는 잠을 설치는 것 없이 잘 자는 편이다,Bottom2(①+②),46.296,21.703,486,5027,147.4955,0.0,0.5274,24.593,True
【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,가족/친척,52.469,77.163,486,5027,144.0747,0.0,0.5249,-24.694,True
【A19_6】 성인기 전 경험▶학교나 동네에서 다른 사람들에게 괴롭힘이나 따돌림을 당했던 경험,있다,57.202,31.689,486,5027,128.6573,0.0,0.5195,25.513,True
【A19_6】 성인기 전 경험▶학교나 동네에서 다른 사람들에게 괴롭힘이나 따돌림을 당했던 경험,없다,42.798,68.311,486,5027,128.6573,0.0,0.5195,-25.513,True
【A16_1 TO A16_11】 고립/은둔 계기,다른 사람과 대화하거나 함께 활동하는 등 인간관계를 맺는 것이 어려워서,40.329,17.251,486,5027,151.705,0.0,0.5195,23.078,True
【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,"그 외 타인 (이웃, 직장동료 등)",8.436,27.432,486,5027,83.6203,0.0,0.5131,-18.996,True
【B12_6】 우울 척도▶피곤하고 기운이 없었다.,없음,13.169,34.235,486,5027,89.8256,0.0,0.5073,-21.066,True
"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람","그 외 타인 (이웃, 직장동료 등)",3.498,18.222,486,5027,68.331,0.0,0.5058,-14.724,True
【A5】 가정의 주관적 사회경제적 수준,중,27.009,51.394,486,5027,105.9721,0.0,0.5057,-24.385,True
【B12_3】 우울 척도▶잠들기가 어렵거나 자주 깼다/혹은 너무 많이 잤다.,없음,25.103,49.155,486,5027,102.9055,0.0,0.5043,-24.052,True
【B12_4】 우울 척도▶평소보다 식욕이 줄었다/혹은 평소보다 많이 먹었다.,거의 매일,20.37,4.635,486,5027,193.8818,0.0,0.5025,15.735,True
【C5x3】 병원 진단 및 치료▶제공 장소,집에 찾아오는 상담자 지정 및 지원 연계,8.333,26.303,486,5027,77.7681,0.0,0.4914,-17.97,True
"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",거의 매일 (일주일에서너 번이상),3.704,18.082,486,5027,65.5022,0.0,0.4911,-14.378,True
【B12_2】 우울 척도▶평소 하던 일에 대한 흥미가 없어지거나 즐거움을 느끼지 못했다.,없음,22.84,45.793,486,5027,94.8639,0.0,0.49,-22.953,True
【A13_2】 물리적 고립▶친인척들과의 대면 교류,한 달에한두 번,4.527,19.495,486,5027,66.7604,0.0,0.4858,-14.968,True
【C7x1】 경제적 지원▶제공 기간,6개월 이상,61.871,37.825,486,5027,107.4613,0.0,0.4857,24.046,True
