var,axis,label,section,category,pct_iso,pct_gen,diff,h,n_iso,n_gen
A1,축2_사회이행,지난주 노동 여부,【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,"그 외 타인 (이웃, 직장동료 등)",7.0,16.9,-10.0,0.313,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,없음,56.0,9.4,46.5,1.066,486,5027
A13_1,축1_관계형성,가족 교류,【A13_1】 물리적 고립▶가족들과의 대면 교류,전혀없다,14.4,1.0,13.4,0.577,486,5027
A13_1,축1_관계형성,가족 교류,【A13_1】 물리적 고립▶가족들과의 대면 교류,1년에한두 번,10.9,3.8,7.1,0.283,486,5027
A13_1,축1_관계형성,가족 교류,【A13_1】 물리적 고립▶가족들과의 대면 교류,3개월에한두 번,9.1,13.0,-3.9,0.126,486,5027
A13_1,축1_관계형성,가족 교류,【A13_1】 물리적 고립▶가족들과의 대면 교류,한 달에한두 번,12.1,21.9,-9.7,0.262,486,5027
A13_1,축1_관계형성,가족 교류,【A13_1】 물리적 고립▶가족들과의 대면 교류,일주일에한두 번,15.8,20.4,-4.5,0.117,486,5027
A13_1,축1_관계형성,가족 교류,【A13_1】 물리적 고립▶가족들과의 대면 교류,거의 매일 (일주일에서너 번이상),37.7,40.0,-2.4,0.049,486,5027
A1,축2_사회이행,지난주 노동 여부,【A13_2】 물리적 고립▶친인척들과의 대면 교류,전혀없다,44.7,10.5,34.2,0.805,486,5027
A1,축2_사회이행,지난주 노동 여부,【A13_2】 물리적 고립▶친인척들과의 대면 교류,1년에한두 번,38.5,37.8,0.7,0.014,486,5027
A1,축2_사회이행,지난주 노동 여부,【A13_2】 물리적 고립▶친인척들과의 대면 교류,3개월에한두 번,8.2,20.6,-12.3,0.359,486,5027
A1,축2_사회이행,지난주 노동 여부,【A13_2】 물리적 고립▶친인척들과의 대면 교류,한 달에한두 번,4.5,19.5,-15.0,0.486,486,5027
A1,축2_사회이행,지난주 노동 여부,【A13_2】 물리적 고립▶친인척들과의 대면 교류,일주일에한두 번,2.9,9.3,-6.4,0.278,486,5027
A1,축2_사회이행,지난주 노동 여부,【A13_2】 물리적 고립▶친인척들과의 대면 교류,거의 매일 (일주일에서너 번이상),1.2,2.4,-1.1,0.086,486,5027
A13_3,축1_관계형성,친구 교류,【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,전혀없다,33.7,1.1,32.6,1.026,486,5027
A13_3,축1_관계형성,친구 교류,【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,1년에한두 번,34.8,5.5,29.3,0.788,486,5027
A13_3,축1_관계형성,친구 교류,【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,3개월에한두 번,14.4,19.9,-5.5,0.146,486,5027
A13_3,축1_관계형성,친구 교류,【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,한 달에한두 번,10.3,35.9,-25.6,0.631,486,5027
A13_3,축1_관계형성,친구 교류,【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,일주일에한두 번,4.9,29.4,-24.4,0.698,486,5027
A13_3,축1_관계형성,친구 교류,【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,거의 매일 (일주일에서너 번이상),1.9,8.3,-6.4,0.31,486,5027
A13_4,축1_관계형성,지인 교류,"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",전혀없다,62.6,8.0,54.5,1.25,486,5027
A13_4,축1_관계형성,지인 교류,"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",1년에한두 번,19.1,8.8,10.3,0.303,486,5027
A13_4,축1_관계형성,지인 교류,"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",3개월에한두 번,6.4,16.5,-10.1,0.325,486,5027
A13_4,축1_관계형성,지인 교류,"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",한 달에한두 번,4.7,23.5,-18.7,0.573,486,5027
A13_4,축1_관계형성,지인 교류,"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",일주일에한두 번,3.5,25.2,-21.7,0.675,486,5027
A13_4,축1_관계형성,지인 교류,"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",거의 매일 (일주일에서너 번이상),3.7,18.1,-14.4,0.491,486,5027
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,3개월 미만,3.1,47.9,-44.8,1.173,381,169
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,3개월 이상 ~ 6개월 미만,2.9,13.6,-10.7,0.414,381,169
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,6개월 이상 ~ 1년 미만,13.4,5.9,7.5,0.258,381,169
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,1년 이상 ~ 3년 미만,22.6,10.7,11.9,0.325,381,169
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,3년 이상 ~ 5년 미만,16.8,5.3,11.5,0.379,381,169
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,5년 이상 ~ 7년 미만,11.5,5.3,6.2,0.228,381,169
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,7년 이상 ~ 10년 미만,8.4,1.8,6.6,0.321,381,169
A14,축4_은둔정도,고립 기간,【A14】 고립 기간,10년 이상,21.3,9.5,11.8,0.333,381,169
A1,축2_사회이행,지난주 노동 여부,【A15】 과거 고립 생활 여부,있음,62.8,41.5,21.2,0.428,486,5027
A1,축2_사회이행,지난주 노동 여부,【A15】 과거 고립 생활 여부,없음,37.2,58.5,-21.2,0.428,486,5027
A1,축2_사회이행,지난주 노동 여부,【A15_1】 최초 고립 시작 시기,19세 이하,21.1,16.8,4.3,0.111,294,1969
A1,축2_사회이행,지난주 노동 여부,【A15_1】 최초 고립 시작 시기,20~24세,39.5,36.4,3.1,0.064,294,1969
A1,축2_사회이행,지난주 노동 여부,【A15_1】 최초 고립 시작 시기,25~29세,23.8,26.3,-2.5,0.058,294,1969
A1,축2_사회이행,지난주 노동 여부,【A15_1】 최초 고립 시작 시기,30~34세,13.9,15.5,-1.6,0.045,294,1969
A1,축2_사회이행,지난주 노동 여부,【A15_1】 최초 고립 시작 시기,35~39세,1.7,5.0,-3.3,0.191,294,1969
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,실직하거나 취업에 어려움을 겪어서,45.5,31.6,13.9,0.287,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,학업 중단 혹은 진학 실패로 인해,19.5,12.9,6.7,0.182,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,다른 사람과 대화하거나 함께 활동하는 등 인간관계를 맺는 것이 어려워서,40.3,17.3,23.1,0.52,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,"친구나 주변 사람들로부터 따돌림, 괴롭힘, 폭력 등을 경험해서",21.0,7.2,13.8,0.41,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,"부모님, 형제자매, 친척 등 가족과 갈등이 있어서",19.3,10.7,8.7,0.245,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,"가정 문제(가정폭력, 학대, 가족 간 불화, 부모의 이혼 등)로 인해",16.3,6.1,10.1,0.329,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,집 밖에 나가는 것이 귀찮아서,39.9,39.2,0.7,0.015,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,학교/사회생활이 어렵거나 무의미해서,30.7,13.7,16.9,0.414,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,"심리적 또는 정신적인 어려움(우울, 불안, 공황, 대인기피, 조현병 등) 때문에",40.9,12.1,28.8,0.677,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,신체적인 질병이나 지병 때문에,11.7,5.8,5.9,0.211,486,684
A1,축2_사회이행,지난주 노동 여부,【A16_1 TO A16_11】 고립/은둔 계기,기타(기입: [TEXT_1] ),2.7,7.9,-5.2,0.241,486,684
A1,축2_사회이행,지난주 노동 여부,【A17】 온라인 대화 여부,그렇다,43.0,57.5,-14.5,0.29,486,5027
A1,축2_사회이행,지난주 노동 여부,【A17】 온라인 대화 여부,그렇지 않다,57.0,42.5,14.5,0.29,486,5027
A1,축2_사회이행,지난주 노동 여부,【A17_1_1 TO A17_1_5】 온라인 대화 방식,게임에서 만난다,24.4,19.5,4.9,0.12,209,2889
A1,축2_사회이행,지난주 노동 여부,【A17_1_1 TO A17_1_5】 온라인 대화 방식,온라인 커뮤니티 등에 게시글이나 댓글 등을 적는다,47.4,43.3,4.1,0.082,209,2889
A1,축2_사회이행,지난주 노동 여부,【A17_1_1 TO A17_1_5】 온라인 대화 방식,메신저로 채팅을 한다,48.8,58.6,-9.8,0.196,209,2889
A1,축2_사회이행,지난주 노동 여부,【A17_1_1 TO A17_1_5】 온라인 대화 방식,SNS 활동을 한다,34.4,44.0,-9.5,0.195,209,2889
A1,축2_사회이행,지난주 노동 여부,【A17_1_1 TO A17_1_5】 온라인 대화 방식,기타(기입: [TEXT_1]),1.4,0.3,1.2,0.135,209,2889
A1,축2_사회이행,지난주 노동 여부,【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,전혀그렇지않다,10.9,18.2,-7.3,0.209,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,별로그렇지않다,19.1,38.8,-19.6,0.439,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,가끔그런편이다,39.7,37.9,1.8,0.036,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,항상그렇다,30.2,5.1,25.2,0.711,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,Top2(③+④),70.0,43.0,27.0,0.551,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,Bottom2(①+②),30.0,57.0,-27.0,0.551,486,5027
A18_2,축1_관계형성,외로움-도움요청불가,【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,전혀그렇지않다,10.7,27.7,-17.0,0.442,486,5027
A18_2,축1_관계형성,외로움-도움요청불가,【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,별로그렇지않다,21.4,40.4,-19.0,0.415,486,5027
A18_2,축1_관계형성,외로움-도움요청불가,【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,가끔그런편이다,37.9,27.8,10.0,0.214,486,5027
A18_2,축1_관계형성,외로움-도움요청불가,【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,항상그렇다,30.0,4.1,26.0,0.755,486,5027
A18_2,축1_관계형성,외로움-도움요청불가,【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,Top2(③+④),67.9,31.9,36.0,0.736,486,5027
